geo:Geometry geo:asWKT geo:wktLiteral
kad:PubliekrechtelijkeBeperking kad:gevestigdOp sor:Object
cube:Observation cbs:personenautosBenzine xsd:nonNegativeInteger
cube:DimensionProperty rdfs:domain owl:Class
cube:Observation cbs:buitenpoliklinieken5 xsd:decimal
cube:Observation cbs:bijstand xsd:nonNegativeInteger
sor:Nummeraanduiding sor:huisnummertoevoeging xsd:string
owl:NamedIndividual rdfs:subPropertyOf owl:AnnotationProperty
kad:LandelijkeOrganisatie dct:identifier xsd:string
cube:Observation cbs:huisartsenpraktijk xsd:decimal
kad:PubliekrechtelijkeBeperking sor:geregistreerdMet sor:Registratiegegevens
sor:Perceel kad:akrAanduiding xsd:string
sh:NodeShape mim:datumOpname xsd:string
cube:Observation cbs:hotel xsd:decimal
cube:Observation cbs:spatialExtent cbs:Wijk
kad:PubliekrechtelijkeBeperking kad:grondslag kad:Grondslag
cube:Observation cbs:corporatiewoningen xsd:nonNegativeInteger
cube:Observation cbs:inwoners15-24 xsd:nonNegativeInteger
cube:Observation cbs:basisschool xsd:decimal
cube:Observation cbs:attracties10 xsd:decimal
cube:MeasureProperty rdfs:range owl:Class
cube:Observation cbs:apotheek xsd:decimal
kad:Ligplaats sor:nevenadres sor:Nummeraanduiding
sh:NodeShape skos:altLabel xsd:string
cube:Observation cbs:cafés3 xsd:decimal
cbs:Gemeente sdo0:identifier xsd:string
cube:Observation cbs:inkomenPerInwoner xsd:nonNegativeInteger
cube:Observation cbs:supermarkten5 xsd:decimal
bag:OpenbareRuimte bag:documentdatum xsd:date
kad:Standplaats geo:hasGeometry gml:Point
sor:Gebouwzone kad:tdnCode xsd:positiveInteger
kad:Brontype rdfs:isDefinedBy owl:Ontology
cube:Observation cbs:restaurant xsd:decimal
owl:Ontology dct:created xsd:date
cube:Observation cbs:woningen xsd:nonNegativeInteger
owl:Class rdfs:subClassOf rdfs:Class
owl:Class dcelements:contributor xsd:string
cube:Observation cbs:personenHoogInkomen xsd:nonNegativeInteger
