DATA TYPE EDGES:
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:kapel')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:hotel')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:lichttoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:zendtoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:kasteel')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:koepel')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:brandtoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:kunstijsbaan')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:luchtwachttoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:windmolen')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:verkeerstoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:bezoekerscentrum')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:boortoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:schoorsteen')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:stadskantoor_hulpsecretarie')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:psychiatrischZiekenhuis_psychiatrischCentrum')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:ruïne')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:veiling')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:peilmeetstation')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:manege')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:postkantoor')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:politiebureau')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:radartoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:paleis')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:overigReligieusGebouw')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:overig')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:observatorium')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:radarpost')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:toren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:parkeerdak_parkeerdek_parkeergarage')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:windmolen_korenmolen')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:vuurtoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:windmolen_watermolen')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:kliniek_inrichting_sanatorium')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:dok')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:silo')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:gevangenis')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:stadion')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:brandweerkazerne')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:fabriek')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:schaapskooi')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:watertoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:klokkentoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:gemaal')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:reddingboothuisje')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:crematorium')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:elektriciteitscentrale')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:school')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:tank')
('sor:Gebouwzone', 'kad:status', 'kad-con:inUitvoering')
('sor:Gebouwzone', 'kad:status', 'kad-con:bestaand')
('sor:Gebouwzone', 'kad:status', 'kad-con:buitenGebruik')
('sor:Gebouwzone', 'kad:status', 'kad-con:inGebruik')
('kad:Ligplaats', 'sor:status', 'kad-con:plaatsAangewezen')
('kad:Ligplaats', 'sor:status', 'kad-con:plaatsIngetrokken')
('sor:Gebouw', 'sor:status', 'kad-con:verbouwingPand')
('sor:Gebouw', 'sor:status', 'kad-con:pandGesloopt')
('sor:Gebouw', 'sor:status', 'kad-con:pandTenOnrechteOpgevoerd')
('sor:Gebouw', 'sor:status', 'kad-con:nietGerealiseerdPand')
('sor:Gebouw', 'sor:status', 'kad-con:pandInGebruik')
('sor:Gebouw', 'sor:status', 'kad-con:pandBuitenGebruik')
('sor:Gebouw', 'sor:status', 'kad-con:pandInGebruikNietIngemeten')
('sor:Gebouw', 'sor:status', 'kad-con:sloopvergunningVerleend')
('sor:Gebouw', 'sor:status', 'kad-con:bouwGestart')
('sor:Gebouw', 'sor:status', 'kad-con:bouwvergunningVerleend')
('sor:OpenbareRuimte', 'sor:status', 'http://bag.basisregistraties.overheid.nl/id/begrip/NaamgevingAangewezen')
('sor:OpenbareRuimte', 'sor:status', 'http://bag.basisregistraties.overheid.nl/id/begrip/NaamgevingIngetrokken')
('sor:Perceel', 'sor:status', 'kad-con:geldig')
('sor:Perceel', 'sor:status', 'kad-con:audit')
('sor:Perceel', 'sor:status', 'kad-con:correctie')
('sor:Verblijfsobject', 'sor:gebruiksdoel', 'sor-con:kantoorfunctie')
('sor:Verblijfsobject', 'sor:gebruiksdoel', 'sor-con:winkelfunctie')
('sor:Verblijfsobject', 'sor:gebruiksdoel', 'sor-con:woonfunctie')
